CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned
652,Germany,Male,41,9,159434.03,1,1,0,178373.93,5,GOLD,856
667,France,Female,38,6,144432.04,1,1,1,73963.17,1,SILVER,403
682,France,Female,26,0,110654.02,1,0,1,111879.21,2,PLATINUM,899
781,Spain,Male,33,3,0.0,2,1,1,42556.33,2,GOLD,989
667,France,Male,31,3,99513.91,1,1,1,189657.26,3,GOLD,962
602,Germany,Female,43,2,113641.49,4,1,0,115116.35,2,GOLD,679
434,Spain,Male,55,6,0.0,1,0,1,73562.05,5,PLATINUM,821
702,Spain,Male,44,9,0.0,1,0,0,59207.41,4,DIAMOND,977
772,Germany,Female,51,9,143930.92,1,0,1,46675.51,1,DIAMOND,937
527,Spain,Female,35,8,0.0,1,1,0,98031.53,4,GOLD,277
661,Germany,Male,35,8,124098.54,1,1,0,86678.48,2,SILVER,393
641,France,Female,35,4,0.0,2,0,0,125986.18,4,PLATINUM,757
629,France,Female,33,6,0.0,2,1,1,59129.72,5,SILVER,632
490,France,Male,39,1,0.0,3,1,0,171060.01,3,PLATINUM,506
847,France,Male,66,7,123760.68,1,0,1,53157.16,1,GOLD,757
550,France,Male,22,6,154377.3,1,1,1,51721.52,2,GOLD,491
666,Germany,Male,71,1,53013.29,2,1,1,112222.64,1,GOLD,419
540,Spain,Male,39,1,0.0,1,0,1,108419.41,2,DIAMOND,727
749,France,Female,27,9,0.0,2,1,0,132734.87,4,PLATINUM,739
628,Spain,Female,33,3,0.0,1,1,1,188193.25,4,GOLD,240
650,Germany,Female,25,2,114330.95,1,1,1,25325.07,1,DIAMOND,876
626,France,Female,37,2,133968.96,2,1,0,148689.65,2,DIAMOND,321
814,France,Female,48,7,0.0,2,1,1,132870.15,1,GOLD,260
534,Spain,Female,33,3,151233.62,1,0,0,199336.63,5,PLATINUM,472
774,France,Female,35,3,121418.62,1,1,1,24400.37,4,DIAMOND,981
613,Spain,Male,19,5,0.0,1,1,1,176903.35,1,SILVER,327
472,Spain,Female,28,4,0.0,2,1,0,1801.77,3,DIAMOND,633
632,Germany,Male,41,3,126550.7,1,0,0,177644.52,3,PLATINUM,324
590,Germany,Female,27,8,123599.49,2,1,0,1676.92,1,SILVER,971
440,France,Male,42,2,0.0,2,1,0,49826.68,4,PLATINUM,260
775,Germany,Female,33,1,118897.1,2,1,1,26362.4,2,SILVER,253
755,France,Female,78,5,121206.96,1,1,1,76016.49,5,PLATINUM,554
620,Germany,Male,40,5,108197.11,2,1,0,49722.34,5,SILVER,951
776,France,Male,37,2,0.0,1,0,1,8065.0,3,SILVER,846
628,France,Male,34,4,158741.43,2,1,1,126192.54,3,PLATINUM,983
711,France,Male,58,9,91285.13,2,1,1,26767.85,3,DIAMOND,949
667,Spain,Male,71,4,137260.78,1,0,1,94433.08,2,DIAMOND,915
506,France,Female,57,6,0.0,2,0,1,194421.12,2,DIAMOND,844
797,France,Male,29,1,0.0,1,0,1,149991.32,5,GOLD,752
580,France,Female,56,1,131368.3,1,1,0,106918.67,1,SILVER,796
669,France,Male,39,3,119452.03,1,1,1,171575.54,4,DIAMOND,784
663,Spain,Male,33,9,0.0,2,0,0,91514.62,5,PLATINUM,868
604,France,Female,47,8,62094.71,3,0,0,9308.1,5,PLATINUM,430
638,Spain,Male,30,9,136808.53,2,1,1,106642.97,5,GOLD,946
778,Spain,Male,40,8,104291.41,2,1,1,117507.11,5,GOLD,998
747,France,Male,42,4,80214.36,1,1,0,115241.96,5,SILVER,387
612,Germany,Male,42,5,141927.1,1,1,1,43018.98,5,GOLD,299
850,Germany,Female,27,8,111837.78,2,1,1,110805.79,1,GOLD,521
636,Germany,Female,48,3,120568.41,1,1,0,190160.04,2,SILVER,981
725,France,Female,25,9,0.0,2,1,1,168607.74,2,SILVER,922
671,Spain,Female,29,6,0.0,2,0,0,12048.67,2,GOLD,328
782,Spain,Male,23,10,98052.66,1,1,1,142587.32,3,PLATINUM,565
594,Spain,Female,24,0,97378.54,1,1,1,71405.17,2,DIAMOND,431
633,France,Male,37,2,0.0,2,1,0,182258.17,3,DIAMOND,918
600,France,Female,26,6,108909.12,1,1,0,82547.01,4,SILVER,804
819,Spain,Female,28,8,168253.21,1,1,1,102799.14,4,PLATINUM,230
767,France,Female,35,9,0.0,2,1,0,39511.61,1,DIAMOND,981
559,France,Female,46,5,0.0,1,1,0,21006.1,1,DIAMOND,486
609,Spain,Male,53,10,0.0,1,1,1,154642.91,3,SILVER,498
570,France,Female,61,6,142105.35,1,1,1,45214.04,1,SILVER,309
555,Spain,Male,50,7,128061.0,2,1,1,62375.1,4,GOLD,977
465,Germany,Male,53,1,117438.17,1,0,0,74898.8,2,SILVER,954
743,Germany,Female,34,1,131736.88,1,1,1,108543.21,5,GOLD,514
589,Germany,Female,41,7,92618.62,1,1,1,101178.85,5,SILVER,235
735,Spain,Male,29,10,0.0,2,1,1,95025.27,2,DIAMOND,439
665,Spain,Female,42,2,156371.61,2,0,1,156774.94,3,DIAMOND,553
577,France,Female,30,8,92472.1,2,0,1,126434.61,4,SILVER,569
793,Germany,Female,32,1,96408.98,1,1,1,138191.81,5,DIAMOND,338
680,Spain,Male,35,9,0.0,2,0,0,143774.06,5,PLATINUM,590
598,Spain,Female,64,1,62979.93,1,1,1,152273.57,5,GOLD,291
704,Spain,Male,24,10,122109.78,1,1,1,127654.37,3,PLATINUM,306
485,France,Male,37,5,0.0,2,0,1,170226.47,4,SILVER,735
637,Spain,Female,22,5,98800.0,1,1,0,122865.55,2,SILVER,430
779,France,Female,29,3,46388.16,3,1,0,127939.26,3,DIAMOND,922
803,France,Female,65,2,151659.52,2,0,1,6930.17,5,PLATINUM,321
782,France,Male,39,8,0.0,2,1,1,33949.67,3,PLATINUM,424
832,France,Female,27,10,98590.25,1,1,0,30912.89,1,SILVER,726
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,3,GOLD,299
672,France,Male,31,6,91125.75,1,1,0,177295.92,4,DIAMOND,597
714,Germany,Male,39,3,149887.49,2,1,0,63846.36,4,SILVER,235
679,Germany,Male,35,1,130463.55,2,1,1,37341.17,2,PLATINUM,606
607,France,Female,49,9,119960.29,2,1,0,103068.22,2,PLATINUM,768
702,France,Male,45,0,80793.58,1,1,1,27474.81,2,DIAMOND,994
645,Germany,Male,33,8,149564.61,1,0,0,149913.84,1,PLATINUM,256
427,Spain,Female,39,9,0.0,2,1,0,28368.37,2,DIAMOND,489
755,France,Female,28,7,124540.28,1,0,1,188850.89,3,GOLD,691
602,France,Female,29,3,88814.4,2,1,1,62487.97,3,SILVER,241
716,France,Male,39,1,70657.61,2,1,1,76476.05,3,GOLD,421
467,Germany,Male,51,10,114514.71,2,1,0,177784.68,2,SILVER,681
584,Spain,Female,50,1,0.0,1,0,1,152567.75,2,SILVER,290
629,France,Female,37,10,99546.25,3,0,1,25136.95,1,PLATINUM,878
567,Spain,Male,35,8,153137.74,1,1,0,88659.07,2,PLATINUM,549
618,France,Female,24,7,128736.39,1,0,1,37147.61,2,DIAMOND,517
688,Spain,Female,24,3,0.0,2,1,1,102195.16,5,DIAMOND,739
748,France,Male,60,0,152335.7,1,1,0,126743.33,5,SILVER,468
505,France,Male,26,8,112972.57,1,1,0,145011.62,2,PLATINUM,591
586,France,Female,43,8,132558.26,1,1,0,67046.83,2,SILVER,230
597,Germany,Female,72,6,124978.19,2,1,1,7144.46,2,PLATINUM,374
586,France,Female,60,3,47020.65,2,0,1,63241.21,3,PLATINUM,850
618,France,Female,37,5,96652.86,1,1,0,98686.4,3,DIAMOND,383
610,France,Female,57,7,72092.95,4,0,1,113228.82,2,GOLD,900
637,Spain,Male,43,3,172196.23,1,1,1,104769.96,4,GOLD,550
706,France,Male,34,8,0.0,2,1,1,37479.97,1,DIAMOND,798
737,France,Female,70,9,87542.89,2,1,1,42576.86,4,DIAMOND,631
640,France,Female,47,6,89799.46,2,0,1,13783.77,4,PLATINUM,857
772,Spain,Male,36,3,112029.83,1,1,1,186948.35,2,SILVER,776
785,Germany,Female,32,3,124493.03,2,0,1,52583.79,1,DIAMOND,839
459,Germany,Male,50,5,109387.9,1,1,0,155721.15,3,PLATINUM,894
512,Germany,Female,40,8,153537.57,2,0,0,23101.13,4,DIAMOND,447
654,France,Male,29,2,91955.61,1,1,0,37065.66,2,DIAMOND,375
528,France,Male,31,6,102016.72,2,0,0,80181.12,3,GOLD,264
682,France,Male,50,6,121818.84,2,0,1,124151.37,1,SILVER,813
833,Spain,Male,32,6,0.0,1,1,1,44323.22,4,GOLD,775
615,Spain,Female,29,7,143330.56,2,1,1,126396.01,1,DIAMOND,229
752,Germany,Male,32,9,115587.49,2,0,1,101677.46,5,DIAMOND,722
729,France,Male,39,4,121404.64,1,1,1,159618.17,3,GOLD,797
485,France,Female,27,3,0.0,2,1,0,141449.86,5,SILVER,901
609,Spain,Male,61,1,0.0,1,1,0,22447.85,5,PLATINUM,400
850,Spain,Female,50,10,0.0,2,1,1,33741.84,2,PLATINUM,802
431,Germany,Female,44,2,138843.7,1,1,0,37688.31,5,PLATINUM,777
700,France,Female,82,2,0.0,2,0,1,182055.36,2,GOLD,603
703,Spain,Male,29,9,0.0,2,1,0,50679.48,3,DIAMOND,242
775,Germany,Female,74,0,161371.5,1,1,1,134869.93,5,PLATINUM,322
639,France,Male,22,4,0.0,2,1,0,28188.96,2,GOLD,416
587,Germany,Male,40,5,138241.9,2,1,0,159418.1,5,SILVER,403
741,France,Male,42,6,106036.52,1,1,0,194686.78,4,DIAMOND,927
522,Germany,Male,32,8,124450.36,2,1,1,165786.1,3,GOLD,721
764,France,Male,41,7,0.0,2,0,0,134878.34,3,SILVER,784
691,France,Male,24,6,0.0,2,1,1,92811.2,3,GOLD,591
755,France,Female,29,4,148654.84,2,1,1,28805.09,1,GOLD,519
588,Spain,Male,34,6,121132.26,2,1,0,86460.28,3,DIAMOND,468
586,Germany,Male,34,9,74309.81,1,1,0,15034.93,5,GOLD,248
663,Spain,Female,33,8,122528.18,1,1,0,196260.3,4,SILVER,261
638,Germany,Male,25,4,148045.45,2,1,1,114722.42,2,SILVER,537
662,Spain,Male,33,3,0.0,2,0,1,68064.83,2,GOLD,603
756,Germany,Male,41,2,124439.49,2,0,1,47093.11,4,PLATINUM,938
834,Spain,Male,33,5,0.0,2,1,0,66285.18,1,PLATINUM,746
850,Germany,Female,70,1,96947.58,3,1,0,62282.99,5,GOLD,365
790,France,Female,47,10,148636.21,1,0,1,16119.96,4,DIAMOND,538
667,France,Male,42,6,0.0,1,1,0,88890.05,3,PLATINUM,905
718,Germany,Male,63,7,123204.88,1,1,1,100538.8,1,SILVER,831
589,France,Female,61,1,0.0,1,1,0,61108.56,4,SILVER,923
720,France,Male,29,2,0.0,2,1,0,39925.52,5,PLATINUM,398
792,Spain,Male,25,8,142862.21,1,1,1,130639.01,5,PLATINUM,298
831,France,Female,32,2,146033.62,1,1,0,191260.74,5,SILVER,360
550,Spain,Female,33,9,72788.03,1,1,1,103608.06,2,PLATINUM,487
732,Germany,Male,38,5,178787.54,1,1,1,195760.53,3,DIAMOND,305
719,Spain,Female,47,9,116393.59,1,1,0,63051.32,5,DIAMOND,777
822,France,Male,38,6,128289.7,3,1,0,9149.96,3,DIAMOND,799
771,Spain,Male,18,1,0.0,2,0,0,41542.95,1,GOLD,371
675,France,Female,38,6,68065.8,1,0,0,138777.0,5,PLATINUM,543
732,France,Female,40,10,0.0,2,1,0,154189.08,5,DIAMOND,938
755,Germany,Male,40,2,137430.82,2,0,0,176768.59,1,SILVER,399
701,Spain,Female,21,9,0.0,2,1,1,26327.42,3,PLATINUM,434
633,France,Female,44,7,0.0,2,1,0,29761.29,2,SILVER,627
511,Germany,Female,40,9,124401.6,1,1,0,198814.24,1,DIAMOND,946
629,Germany,Female,38,9,123948.85,1,1,0,76053.07,5,DIAMOND,564
746,France,Male,25,9,0.0,2,0,1,88728.47,3,SILVER,746
674,France,Female,32,7,85757.93,1,1,1,95481.0,2,DIAMOND,929
825,France,Male,34,9,0.0,2,1,1,31933.06,3,SILVER,941
646,Spain,Female,50,5,142644.64,2,1,1,142208.5,4,GOLD,951
350,Spain,Male,54,1,152677.48,1,1,1,191973.49,3,SILVER,643
762,France,Male,20,1,139432.55,1,1,1,85606.83,5,GOLD,415
626,France,Male,34,7,113014.7,2,1,1,56646.28,5,SILVER,664
850,Spain,Male,39,6,206014.94,2,0,1,42774.84,5,PLATINUM,748
515,France,Female,37,0,196853.62,1,1,1,132770.11,3,PLATINUM,644
730,Germany,Female,37,5,124053.03,1,1,0,118591.67,4,DIAMOND,593
667,France,Female,37,9,71786.9,2,1,1,67734.79,2,SILVER,818
555,Germany,Female,46,4,120392.99,1,1,0,177719.88,5,SILVER,594
602,Spain,Female,22,7,141604.76,1,1,0,30379.6,2,PLATINUM,943
721,Spain,Female,36,2,0.0,2,1,1,106977.8,5,SILVER,534
574,France,Female,39,2,122524.61,2,1,0,88463.63,1,SILVER,686
567,Spain,Female,45,1,157320.51,1,1,0,62193.92,4,PLATINUM,630
612,France,Male,24,1,182705.05,1,1,1,171837.06,3,SILVER,615
733,France,Male,39,1,0.0,2,1,1,141841.31,5,SILVER,367
687,Germany,Male,41,10,134318.21,2,1,1,198064.52,4,DIAMOND,402
506,Spain,Male,35,6,110046.93,2,1,0,26318.73,1,GOLD,606
609,France,Male,41,6,0.0,1,0,1,112585.19,4,GOLD,887
443,France,Female,54,3,138547.97,1,1,1,70196.23,1,DIAMOND,493
557,France,Male,34,3,83074.0,1,1,0,132673.22,2,GOLD,496
606,Spain,Female,25,3,147386.72,3,1,0,45482.04,5,SILVER,405
597,Spain,Male,38,6,115702.67,2,1,1,25059.05,4,DIAMOND,486
647,Spain,Male,33,7,121260.19,2,1,0,77216.48,1,PLATINUM,335
689,France,Female,58,5,0.0,2,0,1,49848.86,3,SILVER,478
687,France,Male,39,7,0.0,2,1,0,26848.25,1,PLATINUM,895
508,Germany,Male,28,0,96213.82,2,1,0,147913.56,2,PLATINUM,371
686,France,Female,44,7,55053.62,1,1,0,181757.19,3,DIAMOND,495
698,France,Male,36,2,82275.35,2,1,1,93249.26,5,GOLD,925
640,Spain,Male,29,5,197200.04,2,1,0,141453.62,1,PLATINUM,540
766,Germany,Female,62,7,142724.48,1,0,1,5893.23,2,GOLD,460
628,France,Female,37,9,0.0,2,1,1,34689.77,1,PLATINUM,757
593,France,Male,36,2,70181.48,2,1,0,80608.12,3,PLATINUM,273
802,France,Male,33,8,0.0,2,1,0,143706.18,1,SILVER,956
611,Spain,Female,28,3,96381.68,2,1,0,181419.29,3,GOLD,855
578,Germany,Male,34,8,147487.23,2,1,0,66680.77,3,SILVER,908
541,France,Male,37,9,212314.03,1,0,1,148814.54,1,DIAMOND,369
684,Spain,Male,40,2,70291.02,1,1,1,115468.84,5,DIAMOND,455
720,France,Female,43,6,137824.03,2,1,0,172557.77,4,GOLD,506
767,Germany,Female,45,7,132746.2,2,1,0,26628.88,1,SILVER,313
726,Spain,Male,36,2,0.0,1,1,0,195192.4,5,SILVER,560
473,France,Female,33,5,125827.43,1,0,1,145698.73,5,PLATINUM,299
629,Spain,Male,41,10,150148.51,1,0,0,6936.27,2,DIAMOND,799
711,Germany,Female,35,2,133607.75,1,1,1,120586.32,2,DIAMOND,352
695,Spain,Female,56,4,0.0,2,1,0,84644.76,4,GOLD,736
729,Spain,Female,42,1,0.0,2,1,1,149535.97,5,SILVER,263
629,Spain,Female,30,2,34013.63,1,1,0,19570.63,2,DIAMOND,952
645,France,Male,42,4,98298.18,1,1,1,676.06,4,DIAMOND,234
609,Spain,Male,34,7,140694.78,2,1,0,46266.63,3,DIAMOND,726
724,Germany,Male,41,2,127892.57,2,0,1,199645.45,4,DIAMOND,393
516,France,Female,43,2,112773.73,2,1,1,139366.58,3,SILVER,239
699,France,Female,32,4,110559.46,1,1,1,127429.56,2,SILVER,713
836,France,Female,29,9,133681.78,1,1,1,153747.73,1,PLATINUM,954
605,France,Female,34,2,0.0,1,0,0,35982.42,2,SILVER,723
537,France,Male,38,3,0.0,2,0,0,141023.01,3,GOLD,412
781,France,Female,42,3,156555.54,1,1,1,175674.01,3,DIAMOND,977
543,Germany,Female,57,1,106138.33,2,1,1,120657.32,5,GOLD,677
538,Spain,Female,30,8,0.0,2,1,1,41192.95,3,GOLD,495
631,France,Female,33,8,0.0,2,0,0,117374.22,5,PLATINUM,970
584,Germany,Female,62,9,137727.34,2,0,1,121102.9,5,DIAMOND,581
797,Spain,Female,31,8,0.0,2,1,0,117916.63,5,DIAMOND,346
626,France,Female,39,0,0.0,2,1,1,83295.09,2,DIAMOND,272
723,France,Male,30,3,124119.54,1,1,0,162198.32,4,PLATINUM,945
657,Germany,Male,40,7,99165.84,1,0,1,119333.95,5,SILVER,267
689,Spain,Female,28,3,0.0,2,1,1,192449.02,4,SILVER,731
699,France,Male,35,5,0.0,2,1,1,78397.24,2,SILVER,915
748,Spain,Female,23,8,85600.08,1,0,0,134077.71,4,DIAMOND,872
826,France,Male,55,4,115285.85,1,1,0,140126.17,2,GOLD,712
806,Spain,Male,25,7,0.0,2,1,0,18461.9,4,PLATINUM,767
729,Germany,Male,29,5,109676.52,1,1,1,25548.47,4,PLATINUM,790
803,France,Male,31,9,157120.86,2,1,0,141300.53,3,GOLD,963
636,France,Male,34,1,84055.43,1,0,0,37490.84,2,DIAMOND,934
730,Spain,Female,33,9,0.0,2,0,0,176576.62,1,SILVER,621
624,Germany,Female,27,7,104848.68,1,1,1,167387.36,5,SILVER,734
640,Spain,Male,37,5,158024.38,1,1,0,81298.09,1,GOLD,749
653,Germany,Male,41,1,104584.11,1,1,0,15126.32,4,PLATINUM,576
614,Spain,Female,39,6,0.0,2,1,1,164018.98,2,SILVER,253
758,Spain,Male,40,3,0.0,2,0,0,96097.65,1,DIAMOND,864
800,France,Male,60,6,88541.57,2,1,1,131718.12,1,SILVER,577
583,France,Male,27,7,0.0,2,1,0,51285.49,1,PLATINUM,250
565,Germany,Female,47,10,139756.12,1,1,0,165849.49,4,GOLD,234
510,Germany,Female,44,4,123070.89,1,1,0,28461.29,3,DIAMOND,875
515,France,Male,48,5,129387.94,1,0,1,147955.91,3,SILVER,269
578,Spain,Male,40,6,63609.92,1,0,0,74965.61,5,SILVER,783
640,Germany,Female,43,9,94752.49,1,1,0,184006.36,4,DIAMOND,523
649,France,Male,47,1,0.0,2,1,1,145593.85,4,GOLD,908
466,France,Female,30,3,0.0,1,1,0,193984.6,2,PLATINUM,671
689,France,Female,40,1,0.0,2,1,1,119446.64,4,SILVER,501
649,France,Male,37,9,87374.88,2,1,1,247.36,1,PLATINUM,245
656,Germany,Male,68,7,153545.11,1,1,1,186574.68,2,DIAMOND,430
516,Germany,Female,47,9,128298.74,1,0,0,149614.17,1,SILVER,630
479,France,Female,35,2,113090.4,1,1,0,195649.79,4,GOLD,889
754,Spain,Male,39,7,157691.98,2,1,0,133600.89,1,SILVER,902
647,Spain,Male,28,6,149594.02,2,1,0,102325.19,5,SILVER,607
514,Germany,Female,45,3,109032.23,1,0,1,155407.21,2,DIAMOND,764
535,France,Male,47,0,160729.1,1,0,1,145986.35,5,DIAMOND,284
710,France,Male,33,10,118327.17,2,1,1,192928.82,1,GOLD,809
745,France,Male,36,8,67226.37,1,1,0,130789.6,2,DIAMOND,296
702,France,Male,37,10,150525.8,1,1,1,94728.49,4,DIAMOND,541
577,France,Male,42,9,0.0,1,1,0,74077.91,3,SILVER,897
678,Spain,Male,29,6,0.0,2,1,0,64443.75,3,GOLD,775
554,Germany,Female,55,0,108477.27,1,0,1,140003.0,3,GOLD,641
733,France,Female,44,6,168165.84,1,0,1,197193.49,2,SILVER,225
661,France,Male,35,5,0.0,1,1,0,155394.52,1,GOLD,698
643,Spain,Female,45,9,150840.03,2,1,0,155516.35,2,GOLD,812
644,France,Male,33,7,174571.36,1,0,1,43943.09,1,DIAMOND,881
678,Spain,Male,38,3,124483.53,1,1,0,126253.31,1,SILVER,709
580,Germany,Female,42,2,123331.36,1,0,0,103516.08,3,DIAMOND,362
718,France,Female,44,1,133866.22,1,0,1,139049.24,3,GOLD,445
655,France,Male,27,10,0.0,2,1,0,51620.94,4,SILVER,925
585,France,Female,34,1,0.0,1,1,1,75503.6,3,GOLD,503
664,France,Male,57,6,0.0,2,1,1,15304.08,5,SILVER,564
777,France,Male,23,6,0.0,2,1,1,163225.48,4,PLATINUM,605
499,Spain,Female,42,0,147187.84,1,1,1,14868.94,5,SILVER,662
704,Spain,Male,38,6,106687.76,1,1,0,173776.5,4,GOLD,546
640,Spain,Male,34,1,137523.02,1,0,0,24761.36,1,GOLD,994
450,Spain,Female,46,5,177619.71,1,1,0,54227.06,1,GOLD,238
658,France,Female,29,8,0.0,2,0,1,130461.09,5,DIAMOND,694
603,France,Male,31,4,0.0,2,0,1,9607.1,4,GOLD,296
681,France,Male,29,8,0.0,1,1,0,66367.33,2,GOLD,479
655,France,Female,38,6,0.0,1,1,1,188639.28,3,SILVER,333
669,Germany,Male,47,0,63723.78,2,1,1,181928.25,1,DIAMOND,316
593,Spain,Male,26,9,76226.9,1,1,0,167564.82,5,GOLD,608
664,France,Female,38,4,74306.19,2,1,0,154395.56,3,DIAMOND,733
725,Germany,Male,39,1,50880.98,2,1,1,184023.54,4,GOLD,644
710,France,Female,31,1,0.0,2,1,0,20081.3,3,PLATINUM,572
595,Spain,Male,37,2,157084.99,1,1,0,134767.13,5,GOLD,974
774,France,Male,40,9,93017.47,2,1,0,191608.97,1,GOLD,354
646,Germany,Female,57,6,90212.0,1,1,0,13911.27,4,PLATINUM,594
606,Germany,Female,27,6,172310.33,1,0,1,111448.92,4,DIAMOND,232
645,France,Male,32,4,0.0,2,0,1,97628.08,3,PLATINUM,820
671,Germany,Female,23,9,123943.18,1,1,1,159553.27,2,PLATINUM,873
673,France,Male,32,8,121240.76,1,1,0,116969.73,2,DIAMOND,296
614,Spain,Female,41,7,146997.64,2,0,0,137791.18,5,PLATINUM,524
685,Spain,Male,35,4,137948.51,1,1,0,113639.64,1,PLATINUM,404
606,France,Male,32,5,83161.65,1,1,1,116885.59,4,PLATINUM,391
779,Germany,Female,24,10,122200.31,2,1,0,43705.56,1,SILVER,974
850,France,Female,40,9,99816.46,1,1,1,163989.66,3,PLATINUM,873
850,France,Male,40,8,102800.65,1,1,0,60811.56,3,DIAMOND,833
670,France,Female,42,1,115961.58,2,0,1,29483.87,4,DIAMOND,795
646,France,Female,33,2,0.0,2,0,0,198208.0,1,PLATINUM,570
644,France,Male,33,8,0.0,2,1,1,155294.17,5,SILVER,813
759,Spain,Male,31,8,0.0,2,1,1,99086.74,3,PLATINUM,451
745,Spain,Female,35,8,0.0,2,1,1,116581.1,1,PLATINUM,879
850,Germany,Female,30,8,154870.28,1,1,1,54191.38,5,PLATINUM,690
686,Spain,Male,34,9,0.0,2,1,0,127569.8,3,SILVER,358
699,France,Male,39,2,109724.38,1,1,1,180022.39,2,GOLD,412
703,France,Male,50,8,160139.59,2,1,1,79314.1,2,PLATINUM,635
483,France,Male,29,9,0.0,1,1,1,81634.45,5,GOLD,239
611,France,Male,28,2,0.0,2,0,0,25395.83,4,SILVER,300
606,France,Male,31,10,0.0,2,1,0,195209.4,3,DIAMOND,992
675,France,Male,35,8,0.0,2,1,1,56642.97,3,PLATINUM,806
820,Spain,Female,31,2,94222.53,1,1,0,103570.8,1,PLATINUM,947
543,Spain,Female,46,5,140355.6,1,1,1,85086.78,2,GOLD,880
667,Germany,Female,36,1,114391.62,1,1,1,53412.54,5,SILVER,874
712,Germany,Male,37,7,93978.96,2,1,0,60651.77,1,PLATINUM,313
506,Germany,Female,41,3,57745.76,1,1,0,4035.46,1,SILVER,908
624,France,Female,38,3,0.0,2,1,1,163666.85,3,PLATINUM,357
601,Germany,Female,33,7,114430.18,2,1,1,153012.13,2,SILVER,976
623,Germany,Male,33,2,80002.33,1,1,1,104079.62,2,DIAMOND,343
639,Spain,Female,27,2,0.0,1,1,1,82938.99,4,GOLD,520
794,Germany,Female,54,1,75900.84,1,1,1,192154.66,4,GOLD,322
783,Spain,Female,44,3,81811.71,1,1,0,164213.53,5,DIAMOND,611
806,Germany,Female,59,0,135296.33,1,1,0,182822.5,1,SILVER,486
658,France,Female,24,2,0.0,2,1,1,84694.49,3,PLATINUM,698
524,France,Male,50,4,0.0,2,1,1,31840.59,2,SILVER,292
619,Germany,Male,29,4,98955.87,1,0,1,131712.51,2,SILVER,337
673,Spain,Male,40,1,121629.22,1,1,1,3258.6,3,DIAMOND,313
834,Germany,Female,68,9,130169.27,2,0,1,93112.2,5,GOLD,882
744,Germany,Male,38,6,73023.17,2,1,0,78770.86,5,GOLD,353
805,Spain,Male,37,5,0.0,2,1,0,21928.81,5,PLATINUM,311
771,France,Female,41,10,108309.0,4,1,1,137510.41,2,SILVER,759
701,Spain,Male,26,5,83600.24,1,0,1,59195.05,2,DIAMOND,916
621,Spain,Female,37,9,83061.26,2,1,0,9170.54,5,DIAMOND,748
631,France,Female,31,8,137687.72,1,1,0,190067.12,1,GOLD,498
816,Germany,Female,38,5,130878.75,3,1,0,71905.77,4,GOLD,961
